algorithm,vertices,edges,runtime_ms,graph_memory_bytes,extra_memory_bytes,total_memory_bytes,note
Dijkstra,10000,11156,0.000291,463120,258496,721616,
Bellman-Ford,10000,11156,0.0105,463120,80000,543120,
Dijkstra,50000,57424,0.000458,2348480,1318784,3667264,
Bellman-Ford,50000,57424,0.048875,2348480,400000,2748480,
Dijkstra,100000,112904,0.000417,4658080,2606464,7264544,
Bellman-Ford,100000,112904,0.102167,4658080,800000,5458080,
